corpus,collection,languages,n_transcripts,n_transcripts_with_target_child_age,target_child_age_min,target_child_age_max,section,status,n_utterances,speaker_code_counts,speaker_role_counts,speaker_codes,speaker_roles,classifier_counts_all,classifier_counts_chi
AcadLang,Chinese,zho,116,115,1095.75,2526.3125,Chinese,ok,4380,"{""ADU"": 2308, ""CHI"": 2072}","{""Adult"": 2308, ""Target_Child"": 2072}",ADU;CHI,Adult;Target_Child,"{""个"": 353, ""只"": 22, ""张"": 2, ""条"": 18}","{""个"": 190, ""只"": 19, ""张"": 1, ""条"": 15}"
Beijing,Chinese,zho,50,49,636.75,825.8125,Chinese,ok,91449,"{""AYY"": 1826, ""BAO"": 1428, ""CAA"": 1, ""CH2"": 536, ""CHI"": 28464, ""DDD"": 101, ""DGG"": 1413, ""FAT"": 12261, ""INV"": 3197, ""JEE"": 172, ""JJJ"": 77, ""LLL"": 198, ""LYY"": 232, ""MNN"": 40, ""MOT"": 33333, ""NNN"": 3597, ""OBB"": 7, ""OFF"": 781, ""OGG"": 97, ""OMM"": 916, ""ONN"": 78, ""OPP"": 257, ""OYY"": 88, ""SSS"": 37, ""UNC"": 1116, ""XGG"": 410, ""YYY"": 786}","{""Adult"": 1694, ""Investigator"": 3465, ""Mother"": 37466, ""Caretaker"": 1428, ""Child"": 425, ""Target_Child"": 28464, ""Unidentified"": 1350, ""Relative"": 1182, ""Father"": 13091, ""Grandmother"": 2096, ""Grandfather"": 788}",AYY;BAO;CAA;CH2;CHI;DDD;DGG;FAT;INV;JEE;JJJ;LLL;LYY;MNN;MOT;NNN;OBB;OFF;OGG;OMM;ONN;OPP;OYY;SSS;UNC;XGG;YYY,Adult;Caretaker;Child;Father;Grandfather;Grandmother;Investigator;Mother;Relative;Target_Child;Unidentified,,
Chang1,Chinese,zho; zho eng; zho nan,24,24,1278.375,2343.6875,Chinese,ok,5813,"{""CHI"": 3179, ""EXP"": 2634}","{""Target_Child"": 3179, ""Investigator"": 2634}",CHI;EXP,Investigator;Target_Child,"{""个"": 617, ""只"": 210, ""张"": 2, ""条"": 12}","{""个"": 269, ""只"": 107, ""张"": 2, ""条"": 1}"
Chang2,Chinese,zho,31,31,1217.5,1308.8125,Chinese,ok,6753,"{""CHI"": 2104, ""EXP"": 6, ""FAT"": 11, ""INV"": 26, ""MOT"": 4604, ""SIS"": 2}","{""Target_Child"": 2104, ""Investigator"": 32, ""Father"": 11, ""Mother"": 4604, ""Sister"": 2}",CHI;EXP;FAT;INV;MOT;SIS,Father;Investigator;Mother;Sister;Target_Child,"{""个"": 481, ""只"": 43, ""张"": 20, ""本"": 3}","{""个"": 184, ""只"": 6, ""张"": 6}"
ChangPlay,Chinese,zho,56,56,1126.1875,2191.5,Chinese,ok,26509,"{""AUN"": 7, ""BRO"": 633, ""CHI"": 8491, ""EXP"": 431, ""EXP1"": 8, ""EXP2"": 8, ""FAT"": 357, ""GRA"": 17, ""GRF"": 18, ""GRM"": 1023, ""MOT"": 14692, ""SI1"": 249, ""SI2"": 104, ""SI3"": 7, ""SIS"": 464}","{""Relative"": 14, ""Brother"": 633, ""Target_Child"": 8491, ""Investigator"": 447, ""Father"": 357, ""Grandfather"": 35, ""Grandmother"": 1023, ""Mother"": 14692, ""Sister"": 817}",AUN;BRO;CHI;EXP;EXP1;EXP2;FAT;GRA;GRF;GRM;MOT;SI1;SI2;SI3;SIS,Brother;Father;Grandfather;Grandmother;Investigator;Mother;Relative;Sister;Target_Child,"{""个"": 2287, ""只"": 216, ""张"": 30, ""条"": 34}","{""个"": 881, ""只"": 55, ""张"": 2, ""条"": 6}"
ChangPN,Chinese,zho,191,191,1217.5,3835.125,Chinese,ok,27279,"{""CHI"": 10005, ""EXP"": 17274}","{""Target_Child"": 10005, ""Investigator"": 17274}",CHI;EXP,Investigator;Target_Child,"{""个"": 1043, ""只"": 413, ""张"": 55, ""本"": 157, ""条"": 11}","{""个"": 444, ""只"": 192, ""张"": 11, ""本"": 18, ""条"": 10}"
CHCC,Biling,eng yue zho; eng zho; eng zho spa; yue eng zho; yue eng zho spa; yue zho eng; zho; zho eng; zho eng spa; zho yue eng,189,187,582.3125,1801.8125,Biling,ok,100022,"{""ALI"": 16, ""AUN"": 120, ""CHI"": 30839, ""FAT"": 13836, ""GRA"": 11, ""GRAF"": 293, ""GRAM"": 449, ""GRM"": 91, ""JEN"": 285, ""KAY"": 4574, ""LAN"": 3785, ""MAG"": 9917, ""MOT"": 29151, ""RIK"": 287, ""SOP"": 6298, ""VID"": 70}","{""Investigator"": 25232, ""Relative"": 120, ""Target_Child"": 30839, ""Father"": 13836, ""Grandfather"": 304, ""Grandmother"": 540, ""Mother"": 29151}",ALI;AUN;CHI;FAT;GRA;GRAF;GRAM;GRM;JEN;KAY;LAN;MAG;MOT;RIK;SOP;VID,Father;Grandfather;Grandmother;Investigator;Mother;Relative;Target_Child,"{""个"": 3098, ""只"": 277, ""张"": 52, ""本"": 178, ""条"": 86}","{""个"": 1016, ""只"": 49, ""张"": 6, ""本"": 27, ""条"": 8}"
Chinese-Chang1,Frogs,zho; zho eng; zho nan; zho nan eng,91,90,1217.5,2678.5,Frogs,ok,11965,"{""CHI"": 5256, ""EXP"": 6709}","{""Child"": 114, ""Target_Child"": 5142, ""Investigator"": 6709}",CHI;EXP,Child;Investigator;Target_Child,"{""个"": 829, ""只"": 416, ""张"": 48, ""本"": 287, ""条"": 15}","{""个"": 558, ""只"": 268, ""张"": 2, ""本"": 4, ""条"": 1}"
Chinese-Guo,Frogs,zho; zho eng,72,72,1278.375,7305.0,Frogs,ok,6343,"{""CHI"": 4968, ""INV"": 1375}","{""Target_Child"": 4968, ""Investigator"": 1375}",CHI;INV,Investigator;Target_Child,"{""个"": 1705, ""只"": 331, ""张"": 3, ""条"": 12}","{""个"": 1335, ""只"": 328, ""张"": 3, ""条"": 12}"
Chinese-Tardif,Frogs,zho,603,601,979.0,1843.25,Frogs,ok,57098,"{""CHI"": 22595, ""HA1"": 1488, ""HA2"": 697, ""HA3"": 8, ""HAN"": 4719, ""IN1"": 7013, ""IN2"": 2860, ""INV"": 17718}","{""Target_Child"": 22595, ""Father"": 630, ""Grandfather"": 39, ""Grandmother"": 651, ""Mother"": 5551, ""Unidentified"": 15, ""Relative"": 27, ""Investigator"": 476, ""Teacher"": 27114}",CHI;HA1;HA2;HA3;HAN;IN1;IN2;INV,Father;Grandfather;Grandmother;Investigator;Mother;Relative;Target_Child;Teacher;Unidentified,"{""个"": 7021, ""只"": 895, ""张"": 613, ""本"": 7, ""条"": 20}","{""个"": 3336, ""只"": 728, ""张"": 55, ""本"": 2, ""条"": 20}"
Chinese-Zhou,Frogs,zho,60,60,1095.75,1461.0,Frogs,ok,4529,"{""CHI"": 2664, ""INV"": 1865}","{""Target_Child"": 2664, ""Investigator"": 1865}",CHI;INV,Investigator;Target_Child,"{""个"": 727, ""只"": 220, ""张"": 21, ""本"": 99, ""条"": 13}","{""个"": 403, ""只"": 131, ""张"": 6, ""本"": 2, ""条"": 2}"
CLPF,Dutch,nan,2,0,,,Dutch,ok,,,,,,,
CUHK,Biling,eng zho,9,4,1126.1875,2374.125,Biling,ok,1910,"{""ADU"": 232, ""ALL"": 11, ""AUN"": 210, ""CAN"": 43, ""CEL"": 4, ""CH2"": 47, ""CHI"": 612, ""INT"": 173, ""INV"": 233, ""MAN"": 71, ""MAR"": 111, ""MOM"": 145, ""MOT"": 2, ""STE"": 8, ""UNC"": 7, ""WOM"": 1}","{""Adult"": 232, ""Child"": 128, ""Relative"": 217, ""Target_Child"": 766, ""Mother"": 159, ""Investigator"": 406, ""Visitor"": 2}",ADU;ALL;AUN;CAN;CEL;CH2;CHI;INT;INV;MAN;MAR;MOM;MOT;STE;UNC;WOM,Adult;Child;Investigator;Mother;Relative;Target_Child;Visitor,,
Erbaugh,Chinese,zho eng,64,64,667.1875,1392.6875,Chinese,ok,68164,"{""ADU"": 12654, ""ADU1"": 5862, ""ADU2"": 1891, ""ADU3"": 209, ""ADU4"": 4, ""CHI"": 24462, ""CHI1"": 1559, ""CHI2"": 974, ""FAT"": 1147, ""GRA"": 205, ""MOT"": 17903, ""SIS"": 1294}","{""Adult"": 20575, ""Grandmother"": 250, ""Target_Child"": 25541, ""Child"": 1454, ""Father"": 1147, ""Mother"": 17903, ""Sister"": 1294}",ADU;ADU1;ADU2;ADU3;ADU4;CHI;CHI1;CHI2;FAT;GRA;MOT;SIS,Adult;Child;Father;Grandmother;Mother;Sister;Target_Child,"{""个"": 3717, ""只"": 247, ""张"": 109, ""本"": 65, ""条"": 39}","{""个"": 1308, ""只"": 67, ""张"": 31, ""本"": 15, ""条"": 10}"
